"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"259","6041","Dentex dentex","Deletion","Sparus dentex","not found in Natura2000 List","not available"
"260","6171","Dianthus arenarius subsp. borussicus","Deletion","Dianthus arenarius subsp. bohemicus ","not found in Natura2000 List","not available"
"261","1469","Dianthus marizii","Deletion","Dianthus laricifolius subsp. marizii","6213","Remains"
"262","5183","Diphasiastrum alpinum","Deletion","Diphasium alpinum","not found in Natura2000 List","not available"
"263","5184","Diphasiastrum complanatum","Deletion","Diphasium complanatum","not found in Natura2000 List","not available"
"264","5198","Diphasiastrum issleri","Deletion","Diphasium issleri","not found in Natura2000 List","not available"
"265","5185","Diphasiastrum madeirense","Deletion","Diphasium madeirense","not found in Natura2000 List","not available"
"266","5248","Diphasium alpinum","Deletion","Diphasiastrum alpinum","not found in Natura2000 List","not available"
"267","5249","Diphasium complanatum","Deletion","Diphasiastrum complanatum","not found in Natura2000 List","not available"
"268","5250","Diphasium issleri","Deletion","Diphasiastrum issleri","not found in Natura2000 List","not available"
"269","2054","Diphasium madeirense","Deletion","Diphasiastrum madeirense","not found in Natura2000 List","not available"
"270","5252","Diphasium tristachyum","Deletion","Diphasiastrum tristachyum","5187","Remains"
"271","5989","Diplodus sargus","Deletion","Diplodus sargus sargus","not found in Natura2000 List","not available"
"272","5630","Diplodus sargus sargus","Deletion","Diplodus sargus","not found in Natura2000 List","not available"
"273","1497","Diplotaxis vicentina","Deletion","Diplotaxis siifolia subsp. vicentina","6980","Addition"
"274","6287","Discoglossus pictus pictus","Deletion","Discoglossus pictus","1189","Remains"
"275","1004","Discula leacockiana","Deletion","Hystricella leacockiana","6972","Addition"
"276","1005","Discula turricula","Deletion","Hystricella turricula","6971","Addition"
"277","6214","Draba glabella","Deletion","Draba cacuminum ","not found in Natura2000 List","not available"
"278","1393","Drepanocladus vernicosus","Deletion","Hamatocaulis vernicosus","6216","Remains"
"279","4067","Echium russicum","Deletion","Pontechium maculatum subsp. maculatum","6948","Addition"
"280","6136","Elaphe lineata","Deletion","Zamenis lineatus","5369","Remains"
"281","1281","Elaphe longissima","Deletion","Zamenis longissimus","6091","Remains"
"282","1281","Elaphe longissima","Deletion","Elaphe longissima longissima","not found in Natura2000 List","not available"
"283","6090","Elaphe longissima longissima","Deletion","Zamenis longissimus","6091","Remains"
"284","6090","Elaphe longissima longissima","Deletion","Elaphe longissima","not found in Natura2000 List","not available"
"285","1293","Elaphe situla","Deletion","Zamenis situla","6095","Remains"
"286","6132","Eliomys mumbyanus","Deletion","Eliomys quercinus","not found in Natura2000 List","not available"
"287","2615","Eliomys quercinus","Deletion","Eliomys mumbyanus","not found in Natura2000 List","not available"
"288","2615","Eliomys quercinus","Deletion","Eliomys quercinus liparensis","not found in Natura2000 List","not available"
"289","2615","Eliomys quercinus","Deletion","Eliomys quercinus ophiusae","not found in Natura2000 List","not available"
"290","2615","Eliomys quercinus","Deletion","Eliomys quercinus sardus","not found in Natura2000 List","not available"
"291","6133","Eliomys quercinus liparensis","Deletion","Eliomys quercinus","not found in Natura2000 List","not available"
"292","6134","Eliomys quercinus ophiusae","Deletion","Eliomys quercinus","not found in Natura2000 List","not available"
"293","6031","Eliomys quercinus sardus","Deletion","Eliomys quercinus","not found in Natura2000 List","not available"
"294","6042","Epinephelus alexandrinus","Deletion","Epinephelus fasciatus","not found in Natura2000 List","not available"
"295","5930","Epinephelus fasciatus","Deletion","Epinephelus alexandrinus","not found in Natura2000 List","not available"
"296","5979","Epinephelus guaza","Deletion","Epinephelus marginatus","not found in Natura2000 List","not available"
"297","3021","Epinephelus marginatus","Deletion","Epinephelus guaza","not found in Natura2000 List","not available"
"298","2651","Eptesicus bottae","Deletion","Eptesicus anatolicus","6924","Addition"
"299","6098","Eptesicus serotinus serotinus","Deletion","Eptesicus serotinus","1327","Remains"
"300","1624","Erica scoparia subsp. azorica","Deletion","Erica azorica","7000","Addition"
"301","6215","Erysimum hungaricum","Deletion","Erysimum pieninicum ","not found in Natura2000 List","not available"
"302","1576","Euphorbia lambii","Deletion","Euphorbia bourgeana","6173","Remains"
"303","1720","Euphrasia genargentea","Deletion","Euphrasia nana","6947","Addition"
"304","1173","Euproctus asper","Deletion","Calotriton asper","6944","Addition"
"305","6189","Favratia zoysii","Deletion","Campanula zoysii","4071","Remains"
"306","6105","Felis lynx","Deletion","Lynx lynx","1361","Remains"
"307","6106","Felis silvestris agrius","Deletion","Felis silvestris","1363","Remains"
"308","6107","Felis silvestris cretensis","Deletion","Felis silvestris","1363","Remains"
"309","6108","Felis silvestris lybica","Deletion","Felis silvestris","1363","Remains"
"310","6109","Felis silvestris schreber","Deletion","Felis silvestris","1363","Remains"
"311","6110","Felis silvestris silvestris","Deletion","Felis silvestris","1363","Remains"
"312","6188","Festuca summilusitanica","Deletion","Festuca summilusitana","1891","Remains"
"313","5652","Gallotia caesaris gomerae","Deletion","Gallotia galloti gomerae","not found in Natura2000 List","not available"
"314","5652","Gallotia caesaris gomerae","Deletion","Gallotia bravoana","not found in Natura2000 List","not available"
"315","5990","Gallotia galloti gomerae","Deletion","Gallotia caesaris gomerae","not found in Natura2000 List","not available"
"316","5990","Gallotia galloti gomerae","Deletion","Gallotia bravoana","not found in Natura2000 List","not available"
"317","1242","Gallotia simonyi","Deletion","Gallotia auaritae","7015","Addition"
"318","5991","Gambusia affinis holbrohoki","Deletion","Gambusia holbrooki","not found in Natura2000 List","not available"
"319","5654","Gambusia holbrooki","Deletion","Gambusia affinis holbrohoki","not found in Natura2000 List","not available"
"320","6104","Genetta genetta isabelae","Deletion","Genetta genetta","1360","Remains"
"321","2616","Glis glis","Deletion","Glis glis argenteus","not found in Natura2000 List","not available"
"322","2616","Glis glis","Deletion","Myoxus glis","not found in Natura2000 List","not available"
"323","5969","Glis glis argenteus","Deletion","Glis glis","not found in Natura2000 List","not available"
"324","6114","Globicephala melaena","Deletion","Globicephala melas","2029","Remains"
"325","6157","Gobio belingi","Deletion","Romanogobio belingi","5328","Remains"
"326","6159","Gobio elimeius","Deletion","Romanogobio elimeius","5330","Remains"
"327","2511","Gobio kessleri","Deletion","Romanogobio kesslerii","6143","Remains"
"328","1122","Gobio uranoscopus","Deletion","Romanogobio uranoscopus","6145","Remains"
"329","6158","Gobio vladykovi","Deletion","Romanogobio vladykovi","5329","Remains"
"330","5931","Gobius auratus","Deletion","Gobius luteus","not found in Natura2000 List","not available"
"331","5933","Gobius jozo","Deletion","Gobius niger jozo","not found in Natura2000 List","not available"
"332","6043","Gobius luteus","Deletion","Gobius auratus","not found in Natura2000 List","not available"
"333","6044","Gobius niger","Deletion","Awaous commersoni","not found in Natura2000 List","not available"
"334","6045","Gobius niger jozo","Deletion","Gobius jozo","not found in Natura2000 List","not available"
"335","6167","Gomphus flavipes","Deletion","Stylurus flavipes","1040","Remains"
"336","6312","Graellsia isabelae","Deletion","Graellsia isabellae","1075","Remains"
"337","6312","Graellsia isabelae","Deletion","Actias isabellae","not found in Natura2000 List","not available"
"338","6046","Guttigadus latifrons","Deletion","Laemonema latifrons","not found in Natura2000 List","not available"
"339","6190","Gymnadenia runei","Deletion","Gymnigritella runei","1959","Remains"
"340","5667","Hemiechinus auritus","Deletion","Hemiechinus auritus dorotheae","not found in Natura2000 List","not available"
"341","5992","Hemiechinus auritus dorotheae","Deletion","Hemiechinus auritus","not found in Natura2000 List","not available"
"342","5936","Hemirhamphus calabaricus","Deletion","Hyporhamphus picarti","not found in Natura2000 List","not available"
"343","6233","Herniaria berlengiana","Deletion","Herniaria lusitanica subsp. berlengiana","1449","Remains"
"344","1466","Herniaria latifolia subsp. litardierei","Deletion","Herniaria litardierei","6217","Remains"
"345","2327","Himantoglossum caprinum","Deletion","Himantoglossum hircinum subsp. caprinum","not found in Natura2000 List","not available"
"346","2327","Himantoglossum caprinum","Deletion","Himantoglossum jankae","6927","Addition"
"347","6218","Himantoglossum hircinum subsp. caprinum","Deletion","Himantoglossum caprinum","not found in Natura2000 List","not available"
"348","6218","Himantoglossum hircinum subsp. caprinum","Deletion","Himantoglossum jankae","6927","Addition"
"349","5671","Hippocampus guttulatus","Deletion","Hippocampus ramulosus","not found in Natura2000 List","not available"
"350","5993","Hippocampus ramulosus","Deletion","Hippocampus guttulatus","not found in Natura2000 List","not available"
"351","5189","Huperzia selago","Deletion","Lycopodium selago","not found in Natura2000 List","not available"
"352","6219","Hyacinthoides mauritanica subsp. vincentina","Deletion","Hyacinthoides vincentina","1851","Remains"
"353","1181","Hydromantes ambrosii","Deletion","Speleomantes ambrosii","6206","Remains"
"354","1182","Hydromantes flavus","Deletion","Speleomantes flavus","6207","Remains"
"355","1180","Hydromantes genei","Deletion","Speleomantes genei","6205","Remains"
"356","1184","Hydromantes imperialis","Deletion","Speleomantes imperialis","6209","Remains"
"357","6210","Hydromantes italicus","Deletion","Speleomantes italicus","not found in Natura2000 List","not available"
"358","1994","Hydromantes strinatii","Deletion","Speleomantes strinatii","6211","Remains"
"359","1183","Hydromantes supramontis","Deletion","Speleomantes supramontis","6208","Remains"
"360","6165","Hyla arborea sarda","Deletion","Hyla sarda","1204","Remains"
"361","6047","Hymenocephalus italicus","Deletion","Macrurus heterolepis","not found in Natura2000 List","not available"
"362","2036","Hyperoodon rostratus","Deletion","Hyperoodon ampullatus","5033","Remains"
"363","1052","Hypodryas maturna","Deletion","Euphydryas maturna","6169","Remains"
"364","6048","Hyporhamphus picarti","Deletion","Hemirhamphus calabaricus","not found in Natura2000 List","not available"
"365","1495","Iberis arbuscula","Deletion","Iberis runemarkii","6194","Remains"
"366","1118","Iberocypris palaciosi","Deletion","Squalius palaciosi","7021","Addition"
"367","6049","Ictalurus melas","Deletion","Ameiurus melas","not found in Natura2000 List","not available"
"368","6050","Ictalurus nebulosus","Deletion","Ameiurus nebulosus","not found in Natura2000 List","not available"
"369","6220","Iris humilis","Deletion","Iris humilis subsp. arenaria","4098","Remains"
"370","1753","Jasione lusitanica","Deletion","Jasione maritima var. sabularia","6982","Addition"
"371","1499","Jonopsidium savianum","Deletion","Ionopsidium savianum","7004","Addition"
"372","1392","Jungermannia handelii","Deletion","Solenostoma handelii","7027","Addition"
"373","6051","Knipowitschia caucasica","Deletion","Bubyr caucasicus kosswigii","not found in Natura2000 List","not available"
"374","5677","Knipowitschia punctatissima","Deletion","Orsinigobius punctatissimus","not found in Natura2000 List","not available"
"375","6273","Kochia saxicola","Deletion","Eokochia saxicola","6955","Addition"
"376","6273","Kochia saxicola","Deletion","Bassia saxicola","not found in Natura2000 List","not available"
"377","6052","Labrus viridis","Deletion","Thalassoma lunare","not found in Natura2000 List","not available"
"378","6083","Lacerta agilis agilis","Deletion","Lacerta agilis","1261","Remains"
"379","2395","Lacerta anatolica","Deletion","Anatololacerta anatolica","5373","Remains"
"380","5274","Lacerta aranica","Deletion","Iberolacerta aranica","5257","Remains"
"381","2396","Lacerta armeniaca","Deletion","Darevskia armeniaca","not found in Natura2000 List","not available"
"382","5275","Lacerta aurelioi","Deletion","Iberolacerta aurelioi","5258","Remains"
"383","1245","Lacerta bedriagae","Deletion","Archaeolacerta bedriagae","5912","Remains"
"384","6202","Lacerta bedriagae paessleri","Deletion","Archaeolacerta bedriagae","5912","Remains"
"385","6202","Lacerta bedriagae paessleri","Deletion","Lacerta bedriagae","not found in Natura2000 List","not available"
"386","1995","Lacerta bonnali","Deletion","Iberolacerta bonnali","5259","Remains"
"387","2400","Lacerta caucasica","Deletion","Darevskia caucasica","not found in Natura2000 List","not available"
"388","2404","Lacerta derjugini","Deletion","Darevskia derjugini","not found in Natura2000 List","not available"
"389","1247","Lacerta dugesii","Deletion","Teira dugesii","6201","Remains"
"390","6081","Lacerta dugesii maulli","Deletion","Teira dugesii","6201","Remains"
"391","6081","Lacerta dugesii maulli","Deletion","Lacerta dugesii","not found in Natura2000 List","not available"
"392","1236","Lacerta graeca","Deletion","Hellenolacerta graeca","6079","Remains"
"393","1262","Lacerta horvathi","Deletion","Iberolacerta horvathi","5676","Remains"
"394","2409","Lacerta mosorensis","Deletion","Archaeolacerta mosorensis","not found in Natura2000 List","not available"
"395","2409","Lacerta mosorensis","Deletion","Dinarolacerta mosorensis","6342","Remains"
"396","6082","Lacerta muralis","Deletion","Podarcis muralis","1256","Remains"
"397","2410","Lacerta oertzeni","Deletion","Anatololacerta oertzeni","5372","Remains"
"398","2411","Lacerta oxycephala","Deletion","Archaeolacerta oxycephala","not found in Natura2000 List","not available"
"399","2411","Lacerta oxycephala","Deletion","Dalmatolacerta oxycephala","6341","Remains"
"400","2415","Lacerta praticola","Deletion","Darevskia praticola","not found in Natura2000 List","not available"
"401","6022","Lacerta tangitana","Deletion","Timon tangitanus","not found in Natura2000 List","not available"
"402","6084","Lacerta viridis viridis","Deletion","Lacerta viridis","1263","Remains"
"403","2424","Lacerta vivipara","Deletion","Zootoca vivipara","not found in Natura2000 List","not available"
"404","5680","Lacerta vivipara carniolica","Deletion","Zootoca vivipara","not found in Natura2000 List","not available"
"405","6115","Lacerta vivipara vivipara","Deletion","Zootoca vivipara","not found in Natura2000 List","not available"
"406","5934","Laemonema latifrons","Deletion","Guttigadus latifrons","not found in Natura2000 List","not available"
"407","6152","Lampetra zanandreai","Deletion","Lethenteron zanandreai","1097","Remains"
"408","6053","Leiciscus delineatus","Deletion","Leucaspius delineatus","not found in Natura2000 List","not available"
"409","1759","Leontodon microcephalus","Deletion","Scorzoneroides microcephala","7019","Addition"
"410","5246","Lepidotis inundata","Deletion","Lycopodium inundatum","not found in Natura2000 List","not available"
"411","5246","Lepidotis inundata","Deletion","Lycopodiella inundata","5191","Remains"
"412","2605","Lepus capensis","Deletion","Lepus capensis cyprius","not found in Natura2000 List","not available"
"413","2605","Lepus capensis","Deletion","Lepus capensis mediterraneus","not found in Natura2000 List","not available"
"414","6130","Lepus capensis cyprius","Deletion","Lepus capensis","not found in Natura2000 List","not available"
"415","6129","Lepus capensis mediterraneus","Deletion","Lepus capensis","not found in Natura2000 List","not available"
"416","5693","Lepus timidus hibrenicus","Deletion","Lepus timidus hibernicus","not found in Natura2000 List","not available"
"417","5941","Leucaspius delineatus","Deletion","Leiciscus delineatus","not found in Natura2000 List","not available"
"418","6054","Leuciscus aradensis","Deletion","Squalius aradensis","not found in Natura2000 List","not available"
"419","6004","Leuciscus borysthenicus","Deletion","Petroleuciscus borysthenicus","not found in Natura2000 List","not available"
"420","6055","Leuciscus carolitertii","Deletion","Squalius carolitertii","not found in Natura2000 List","not available"
"421","6056","Leuciscus cephalus","Deletion","Squalius cephalus","not found in Natura2000 List","not available"
"422","6019","Leuciscus cephalus pyrenaicus","Deletion","Squalius pyrenaicus","not found in Natura2000 List","not available"
"423","6057","Leuciscus cephalus vardarensis","Deletion","Squalius vardarensis","not found in Natura2000 List","not available"
"424","6193","Leuciscus keadicus","Deletion","Squalius keadicus","5332","Remains"
"425","1132","Leuciscus lucumonis","Deletion","Squalius lucumonis","6148","Remains"
"426","6192","Leuciscus muticellus","Deletion","Telestes muticellus","5331","Remains"
"427","5099","Leuciscus pleurobipunctatus","Deletion","Telestes pleurobipunctatus","5334","Remains"
"428","6020","Leuciscus pyrenaicus","Deletion","Squalius pyrenaicus","not found in Natura2000 List","not available"
"429","6058","Leuciscus souffia agassizi","Deletion","Telestes agassizi","not found in Natura2000 List","not available"
"430","6059","Leuciscus torgalensis","Deletion","Squalius torgalensis","not found in Natura2000 List","not available"
"431","1871","Leucojum nicaeense","Deletion","Acis nicaeensis","6176","Remains"
"432","6222","Leuzea centauroides","Deletion","Rhaponticum centauroides","not found in Natura2000 List","not available"
"433","6222","Leuzea centauroides","Deletion","Stemmacantha cynaroides","not found in Natura2000 List","not available"
"434","6222","Leuzea centauroides","Deletion","Rhaponticum canariense","7031","Addition"
"435","1841","Lilium rubrum","Deletion","Lilium pomponium","6223","Remains"
"436","1649","Limonium arborescens","Deletion","Limonium arboreum","7030","Addition"
"437","6278","Linaria odora subsp. loeselii","Deletion","Linaria loeselii","2216","Remains"
"438","6224","Linum maritimum","Deletion","Linum muelleri ","not found in Natura2000 List","not available"
"439","6010","Lipophrys pavo","Deletion","Salaria pavo","not found in Natura2000 List","not available"
"440","5701","Lissotriton boscai","Deletion","Triturus boscai","not found in Natura2000 List","not available"
"441","5916","Lissotriton helveticus","Deletion","Triturus helveticus","not found in Natura2000 List","not available"
"442","5702","Lissotriton montadoni","Deletion","Triturus montandoni","2001","Remains"
"443","1668","Lithodora nitida","Deletion","Glandora nitida","7023","Addition"
"444","5280","Luciobarbus albanicus","Deletion","Barbus albanicus","5180","Remains"
"445","5918","Luciobarbus capito","Deletion","Barbus capito","not found in Natura2000 List","not available"
"446","6013","Lucioperca lucioperca","Deletion","Sander lucioperca","not found in Natura2000 List","not available"
"447","6012","Lucioperca sandra","Deletion","Sander lucioperca","not found in Natura2000 List","not available"
"448","6274","Luzula nivalis","Deletion","Luzula arctica","1961","Remains"
"449","5190","Lycopodiella cernua","Deletion","Lycopodium cernuum","not found in Natura2000 List","not available"
"450","5245","Lycopodium cernuum","Deletion","Lycopodiella cernua","not found in Natura2000 List","not available"
"451","6304","Lycopodium inundatum","Deletion","Lepidotis inundata","not found in Natura2000 List","not available"
"452","6304","Lycopodium inundatum","Deletion","Lycopodiella inundata","5191","Remains"
"453","6311","Lycopodium selago","Deletion","Huperzia selago","not found in Natura2000 List","not available"
"454","6225","Lythrum junceum","Deletion","Lythrum flexuosum ","not found in Natura2000 List","not available"
"455","5709","Macroprotodon brevis","Deletion","Macroprotodon cucullatus brevis","not found in Natura2000 List","not available"
"456","5996","Macroprotodon cucullatus brevis","Deletion","Macroprotodon brevis","not found in Natura2000 List","not available"
"457","5710","Macrovipera lebetina","Deletion","Vipera lebetina","not found in Natura2000 List","not available"
"458","5935","Macrurus heterolepis","Deletion","Hymenocephalus italicus","not found in Natura2000 List","not available"
"459","6226","Mandragora autumnalis","Deletion","Mandragora officinarum ","not found in Natura2000 List","not available"
"460","2630","Martes foina","Deletion","Martes foina bunites","not found in Natura2000 List","not available"
"461","2630","Martes foina","Deletion","Martes foina foina","not found in Natura2000 List","not available"
"462","5971","Martes foina bunites","Deletion","Martes foina","not found in Natura2000 List","not available"
"463","5972","Martes foina foina","Deletion","Martes foina","not found in Natura2000 List","not available"
"464","1222","Mauremys caspica","Deletion","Mauremys rivulata","2373","Remains"
"465","1031","Microcondylaea compressa","Deletion","Microcondylaea bonellii","6988","Addition"
"466","1697","Micromeria taygetea","Deletion","Clinopodium taygeteum","6999","Addition"
"467","5723","Microtus gerbei","Deletion","Microtus pyrenaicus","not found in Natura2000 List","not available"
"468","5987","Microtus nivalis","Deletion","Chionomys nivalis","not found in Natura2000 List","not available"
"469","5998","Microtus pyrenaicus","Deletion","Microtus gerbei","not found in Natura2000 List","not available"
"470","6227","Minuartia verna subsp. verna","Deletion","Minuartia smejkalii","2077","Remains"
"471","1460","Moehringia fontqueri","Deletion","Arenaria funiculata","6949","Addition"
"472","1460","Moehringia fontqueri","Deletion","Moehringia intricata subsp. tejedensis","not found in Natura2000 List","not available"
"473","1460","Moehringia fontqueri","Deletion","Moehringia tejedensis","not found in Natura2000 List","not available"
"474","6228","Moehringia intricata subsp. tejedensis","Deletion","Moehringia tejedensis","not found in Natura2000 List","not available"
"475","6228","Moehringia intricata subsp. tejedensis","Deletion","Moehringia intricata subsp. tejedensis","not found in Natura2000 List","not available"
"476","6271","Moehringia laterifolia","Deletion","Moehringia lateriflora","1962","Remains"
"477","6229","Moehringia tejedensis","Deletion","Moehringia intricata subsp. tejedensis","not found in Natura2000 List","not available"
"478","6229","Moehringia tejedensis","Deletion","Moehringia fontqueri","not found in Natura2000 List","not available"
"479","6096","Montivipera xanthina","Deletion","Vipera xanthina","1294","Remains"
"480","1089","Morimus funereus","Deletion","Morimus asper funereus","6908","Addition"
"481","5735","Mullus barbatus","Deletion","Mullus barbatus ponticus","not found in Natura2000 List","not available"
"482","5999","Mullus barbatus ponticus","Deletion","Mullus barbatus","not found in Natura2000 List","not available"
"483","5928","Muraena conger","Deletion","Conger conger","not found in Natura2000 List","not available"
"484","6275","Murbeckiella boryi","Deletion","Murbeckiella pinnatifida subsp. herminii ","not found in Natura2000 List","not available"
"485","6101","Muscardinus avellanarius reus","Deletion","Muscardinus avellanarius","1341","Remains"
"486","1850","Muscari gussonei","Deletion","Leopoldia gussonei","6281","Remains"
"487","2632","Mustela erminea","Deletion","Mustela erminea erminea","not found in Natura2000 List","not available"
"488","5973","Mustela erminea erminea","Deletion","Mustela erminea","not found in Natura2000 List","not available"
"489","2634","Mustela nivalis","Deletion","Mustela nivalis baccamela","not found in Natura2000 List","not available"
"490","2634","Mustela nivalis","Deletion","Mustela nivalis boccamela","not found in Natura2000 List","not available"
"491","2634","Mustela nivalis","Deletion","Mustela nivalis galinthias","not found in Natura2000 List","not available"
"492","5974","Mustela nivalis baccamela","Deletion","Mustela nivalis","not found in Natura2000 List","not available"
"493","5975","Mustela nivalis boccamela","Deletion","Mustela nivalis","not found in Natura2000 List","not available"
"494","5976","Mustela nivalis galinthias","Deletion","Mustela nivalis","not found in Natura2000 List","not available"
"495","5366","Myotis escalarai","Deletion","Myotis escalerai","5278","Remains"
"496","6023","Myoxocephalus quadricornis","Deletion","Triglopsis quadricornis","not found in Natura2000 List","not available"
"497","5968","Myoxus glis","Deletion","Glis glis","not found in Natura2000 List","not available"
"498","1435","Myrica rivas-martinezii","Deletion","Morella rivas-martinezii","7024","Addition"
"499","6172","Narcissus assoanus subsp. praelongus","Deletion","Narcissus assoanus","6951","Addition"
"500","6172","Narcissus assoanus subsp. praelongus","Deletion","Narcissus juncifolius","not found in Natura2000 List","not available"
"501","1859","Narcissus humilis","Deletion","Narcissus cavanillesii","6276","Remains"
"502","6277","Narcissus jonquilla subsp. fernandesii","Deletion","Narcissus fernandesii","1860","Remains"
"503","5192","Narcissus juncifolius","Deletion","Narcissus assoanus","6951","Addition"
"504","5192","Narcissus juncifolius","Deletion","Narcissus assoanus subsp. praelongus","not found in Natura2000 List","not available"
